Comment,Designator,Footprint,LCSC
"22pF","C1,C2","Capacitors_SMD:C_0805_HandSoldering","C1804"
"10uF","C3","Capacitors_SMD:C_0805_HandSoldering","C15850"
"1uF (±10%)","C4","Capacitors_SMD:C_0805_HandSoldering","C28323"
"1uF","C5","Capacitors_SMD:C_0805_HandSoldering","C28323"
"0.1uF","C6,C8,C7,C9","Capacitors_SMD:C_0805_HandSoldering","C49678"
"D","D1,D7,D29,D35,D23,D12,D18,D57,D51,D46,D40,D62,D72,D67,D77,D78,D68,D73,D63,D8,D41,D47,D52,D58,D19,D13,D2,D24,D36,D30,D79,D69,D74,D64,D9,D42,D48,D53,D59,D20,D14,D3,D25,D37,D31,D80,D70,D65,D10,D43,D49,D54,D60,D21,D15,D26,D38,D32,D81,D75,D66,D11,D44,D50,D55,D61,D22,D16,D27,D39,D33,D82,D71,D76,D45,D56,D17,D6,D28,D34,D4,D5","Diode_SMD:D_SOD-123","C241939"
"LED","LS8,LS7,LS6,LS5,LS4,LS2,LS16,LS15,LS1,LS17,LS14,LS11,LS10,LS3,LS9,LS13,LS12","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C34499"
"2N7002","Q1","Package_TO_SOT_SMD:SOT-23","C8545"
"22","R1,R2","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17561"
"10K","R3,R4","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17414"
"1.5K","R5","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C4310"
"R","RL1,RL46,RL12,RL29,RL23,RL7,RL18,RL62,RL57,RL35,RL51,RL40,RL67,RL77,RL72,RL68,RL73,RL78,RL41,RL52,RL36,RL58,RL63,RL2,RL19,RL8,RL24,RL30,RL13,RL47,RL69,RL74,RL79,RL42,RL53,RL37,RL59,RL64,RL3,RL20,RL9,RL25,RL31,RL14,RL48,RL70,RL80,RL43,RL54,RL38,RL60,RL65,RL21,RL10,RL26,RL32,RL15,RL49,RL75,RL81,RL44,RL55,RL39,RL61,RL66,RL22,RL11,RL27,RL33,RL16,RL50,RL71,RL76,RL82,RL45,RL56,RL6,RL34,RL17,RL28,RL4,RL5,RS8,RS7,RS6,RS5,RS4,RS2,RS1,RS17,RS15,RS16,RS14,RS12,RS11,RS10,RS3,RS9,RS13","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17798"
"USBLC6-2SC6","U1","TO_SOT_Packages_SMD:SOT-23-6_Handsoldering","C7519"
"ATmega32U4-AU","U2","Housings_QFP:TQFP-44_10x10mm_Pitch0.8mm","C44854"
"Crystal_GND24","Y1","Crystals:Crystal_SMD_SeikoEpson_FA238-4pin_3.2x2.5mm_HandSoldering","C13738"
